Cycle,Time,Num Bike,Agent,Trip Served,Wait Time (min),Departure Time,Arrival Time,Duration (min),Home [lat],Home [lon],Work [lat],Work [lon],Distance (m)
10828,06:00:56,100,people0,true,1.1333333333333333,05:44:10,06:00:56,16.766666666666666,-71.079357,42.37191954999988,-71.09580711302365,42.356682935493424,2168.0699064424603
10942,06:04:44,100,people1,true,1.1666666666666667,05:52:12,06:04:44,12.533333333333333,-71.08248724341442,42.367712771873535,-71.09201715434888,42.359683245850945,1188.1658837165487
11729,06:30:58,100,people2,true,1.2,06:24:14,06:30:58,6.733333333333333,-71.08765373296384,42.36325299055121,-71.09044937799496,42.35955835402902,470.59133198497705
12164,06:45:28,100,people3,true,3.0,06:38:02,06:45:28,7.433333333333334,-71.08779437761635,42.361780420188815,-71.07915297497333,42.364894635673096,791.4359833126355
12216,06:47:12,100,people4,true,0.5,06:38:32,06:47:12,8.666666666666666,-71.07948630588596,42.37195564164325,-71.09163955822673,42.36840520546058,1075.9026649093132
