placekey,latitude,longitude,top_category
zzw-223@62j-sj2-b49,42.359113,-71.092946,Restaurants and Other Eating Places
2hg-222@62j-sj2-jjv,42.368211,-71.10884399999998,Restaurants and Other Eating Places
243-223@62j-sj3-9zz,42.379798,-71.094545,Restaurants and Other Eating Places
24j-223@62j-sj2-vs5,42.371948,-71.085774,Restaurants and Other Eating Places
228-222@62j-sjv-fzz,42.362536,-71.113988,Restaurants and Other Eating Places
zzw-228@62j-sj2-s5z,42.364103,-71.102124,Restaurants and Other Eating Places
22j-223@62j-sj2-6zf,42.372614,-71.090856,Restaurants and Other Eating Places
zzy-222@62j-sjv-9zz,42.372205,-71.121041,Restaurants and Other Eating Places
zzw-229@62j-sj2-vcq,42.374356,-71.084274,Restaurants and Other Eating Places
2g7-222@62j-sj2-p7q,42.364982,-71.10396300000002,Restaurants and Other Eating Places
22b-222@62j-sjv-qvf,42.376293,-71.124261,Restaurants and Other Eating Places
23w-222@62j-sj2-4vz,42.366428000000006,-71.094095,Restaurants and Other Eating Places
24y-222@62j-sj2-4sq,42.365031,-71.092656,Restaurants and Other Eating Places
zzw-22j@62j-sjv-j35,42.369411,-71.112078,Restaurants and Other Eating Places
228-222@62j-sj2-c3q,42.362474,-71.098336,Restaurants and Other Eating Places
zzw-225@62j-sgg-kvf,42.360997,-71.11394399999998,Restaurants and Other Eating Places
24s-222@62j-sj3-85f,42.373189,-71.09543000000002,Restaurants and Other Eating Places
zzy-226@62j-sj2-jn5,42.369345,-71.110752,Restaurants and Other Eating Places
229-222@62j-sj2-6zf,42.37272100000001,-71.091448,Restaurants and Other Eating Places
zzw-228@62j-sj2-p35,42.365032,-71.102756,Restaurants and Other Eating Places
22p-222@62j-sjv-9mk,42.373551,-71.120249,Drinking Places (Alcoholic Beverages)
zzw-227@62j-sjv-9mk,42.37354600000001,-71.120532,Restaurants and Other Eating Places
zzw-225@62j-sjv-9mk,42.373583,-71.12049,Restaurants and Other Eating Places
235-222@62j-sj3-b6k,42.379918,-71.096778,Restaurants and Other Eating Places
zzy-223@62j-sj2-ty9,42.374321,-71.08576,Restaurants and Other Eating Places
23x-222@62j-sjv-9zz,42.371963,-71.120281,Restaurants and Other Eating Places
zzw-222@62j-sjp-jgk,42.365138,-71.102738,Restaurants and Other Eating Places
222-222@62j-sgg-kfz,42.360866,-71.115436,Restaurants and Other Eating Places
22m-222@62j-sj3-9j9,42.374469,-71.101504,Restaurants and Other Eating Places
zzw-222@62j-sjv-cnq,42.375586,-71.113753,Restaurants and Other Eating Places
22j-222@62j-sj2-c3q,42.362555,-71.098461,Drinking Places (Alcoholic Beverages)
23h-222@62j-sjv-g6k,42.363097,-71.11159599999998,Restaurants and Other Eating Places
22b-223@62j-sj3-2zf,42.363587,-71.083219,Restaurants and Other Eating Places
22s-222@62j-sj3-b6k,42.37989,-71.096793,Restaurants and Other Eating Places
24c-222@62j-sjv-fvf,42.362479,-71.11332900000002,Restaurants and Other Eating Places
222-222@62j-sj4-vcq,42.360213,-71.085994,Restaurants and Other Eating Places
22h-222@62j-sj2-6ff,42.366273,-71.095582,Restaurants and Other Eating Places
225-222@62j-sj2-t35,42.366069,-71.105366,Restaurants and Other Eating Places
222-224@62j-sj3-4d9,42.362854,-71.087715,Restaurants and Other Eating Places
zzw-224@62j-sjv-975,42.374318,-71.122075,Restaurants and Other Eating Places
235-222@62j-sj2-syv,42.366566,-71.10529,Restaurants and Other Eating Places
25x-222@62j-sj2-j9z,42.372968,-71.110736,Restaurants and Other Eating Places
zzw-222@62j-sj2-b49,42.359142,-71.092973,Restaurants and Other Eating Places
23y-222@62j-sjv-bc5,42.372585,-71.119869,Restaurants and Other Eating Places
25w-224@62j-sjv-j35,42.369519,-71.111216,Restaurants and Other Eating Places
zzw-222@62j-sjv-975,42.374213,-71.121184,Restaurants and Other Eating Places
25h-222@62j-sk2-p7q,42.377946,-71.107261,Restaurants and Other Eating Places
27g-223@62j-sj2-jqf,42.368689,-71.10992399999998,Restaurants and Other Eating Places
zzw-222@62j-sj2-rff,42.365011,-71.10240300000002,Restaurants and Other Eating Places
237-222@62j-sk2-pd9,42.377298,-71.104867,Restaurants and Other Eating Places
23b-223@62j-sj3-85f,42.373154,-71.095093,Restaurants and Other Eating Places
zzw-227@62j-sj2-s5z,42.363651,-71.10114200000002,Restaurants and Other Eating Places
25d-222@62j-sj8-q2k,42.379724,-71.091679,Restaurants and Other Eating Places
23p-222@62j-sj2-5j9,42.369072,-71.100965,Restaurants and Other Eating Places
zzw-224@62j-sjv-835,42.374306,-71.119126,Restaurants and Other Eating Places
zzw-223@62j-sjv-9zz,42.372084,-71.121414,Restaurants and Other Eating Places
25d-222@62j-sj2-p35,42.364343,-71.102333,Restaurants and Other Eating Places
228-222@62j-sj2-t35,42.365411,-71.104776,Restaurants and Other Eating Places
23s-223@62j-sj2-435,42.368695,-71.09499699999998,Restaurants and Other Eating Places
257-222@62j-sjv-9zz,42.372469,-71.120857,Drinking Places (Alcoholic Beverages)
zzw-22c@62j-sj2-p35,42.364867,-71.102399,Restaurants and Other Eating Places
22b-222@62j-sj2-rff,42.365028,-71.102423,Restaurants and Other Eating Places
265-222@62j-sgg-jvz,42.35735,-71.107772,Restaurants and Other Eating Places
243-222@62j-sjv-bc5,42.373092,-71.119396,Restaurants and Other Eating Places
227-222@62j-sj2-bx5,42.361745,-71.097077,Restaurants and Other Eating Places
222-222@62j-sjv-brk,42.376369,-71.116619,Restaurants and Other Eating Places
zzw-222@62j-sj3-4d9,42.36316400000001,-71.088442,Restaurants and Other Eating Places
222-223@62j-sjv-brk,42.37644,-71.116827,Restaurants and Other Eating Places
234-222@62j-sjv-bc5,42.372764,-71.120223,Drinking Places (Alcoholic Beverages)
223-222@62j-sj2-d5f,42.363058,-71.092456,Restaurants and Other Eating Places
zzw-222@62j-sjv-7yv,42.372708,-71.116945,Restaurants and Other Eating Places
23c-222@62j-sgg-k75,42.357691,-71.10788199999998,Restaurants and Other Eating Places
229-222@62j-sj3-4d9,42.363101,-71.08785400000002,Restaurants and Other Eating Places
222-224@62j-sj3-47q,42.36279,-71.085498,Restaurants and Other Eating Places
zzw-222@62j-sj3-2c5,42.366646,-71.086437,Restaurants and Other Eating Places
23d-222@62j-sjv-ndv,42.373987,-71.125096,Restaurants and Other Eating Places
222-223@62j-sj3-45f,42.363694,-71.087271,Restaurants and Other Eating Places
27h-222@62j-sj2-qcq,42.364093,-71.10769300000003,Restaurants and Other Eating Places
227-224@62j-sjv-b6k,42.372479,-71.117929,Restaurants and Other Eating Places
23f-222@62j-sjv-b6k,42.372895,-71.117919,Restaurants and Other Eating Places
zzw-222@62j-sj3-47q,42.36255,-71.085605,Restaurants and Other Eating Places
263-222@62j-sj2-s89,42.363335,-71.100716,Restaurants and Other Eating Places
228-224@62j-sj2-rtv,42.36757100000001,-71.102001,Restaurants and Other Eating Places
zzw-225@62j-sj2-p35,42.365034,-71.102754,Restaurants and Other Eating Places
22d-228@62j-sjv-9zz,42.372086,-71.120826,Restaurants and Other Eating Places
zzw-223@62j-sgg-kvf,42.361022,-71.113927,Restaurants and Other Eating Places
227-223@62j-sj2-7dv,42.367673,-71.091185,Drinking Places (Alcoholic Beverages)
zzw-223@62j-sjv-85f,42.373076,-71.11872199999998,Restaurants and Other Eating Places
263-222@62j-sj3-9s5,42.373614,-71.098439,Restaurants and Other Eating Places
zzw-223@62j-sj3-4d9,42.363039,-71.088413,Restaurants and Other Eating Places
223-223@62j-sjv-bc5,42.372907,-71.120106,Restaurants and Other Eating Places
zzw-222@62j-sj4-vcq,42.360684,-71.086093,Restaurants and Other Eating Places
229-222@62j-sj2-rzf,42.363635,-71.09994,Restaurants and Other Eating Places
25w-226@62j-sjv-j35,42.36962800000001,-71.1114,Restaurants and Other Eating Places
23f-224@62j-sjv-b6k,42.372895,-71.117919,Restaurants and Other Eating Places
229-222@62j-sj2-s3q,42.362335,-71.099042,Restaurants and Other Eating Places
23s-222@62j-sj3-9zz,42.379791,-71.094802,Drinking Places (Alcoholic Beverages)
233-222@62j-sj2-8gk,42.373252,-71.098086,Restaurants and Other Eating Places
239-222@62j-sj2-7dv,42.367673,-71.090329,Restaurants and Other Eating Places
227-222@62j-sj2-rzf,42.363594,-71.098974,Restaurants and Other Eating Places
22j-222@62j-sj2-bx5,42.361782,-71.097149,Restaurants and Other Eating Places
23x-222@62j-sj2-wx5,42.372072,-71.08889599999998,Restaurants and Other Eating Places
22s-22f@62j-sjv-bc5,42.372504,-71.119377,Restaurants and Other Eating Places
224-222@62j-sk3-2x5,42.379987,-71.11534,Restaurants and Other Eating Places
228-224@62j-sj2-x89,42.372122,-71.087128,Restaurants and Other Eating Places
24t-223@62j-sjv-9zz,42.372507,-71.12151800000002,Restaurants and Other Eating Places
zzw-222@62j-sgg-fs5,42.357996,-71.114939,Restaurants and Other Eating Places
22x-223@62j-sj3-9mk,42.374155,-71.101091,Restaurants and Other Eating Places
zzy-222@62j-sjv-8qf,42.372198,-71.116039,Restaurants and Other Eating Places
243-224@62j-sjt-kxq,42.372287,-71.122901,Restaurants and Other Eating Places
