placekey,Name,lat,lon,street_address,city,region,postal_code,iso_country_code,wkt_area_sq_meters
26n-222@62j-sj2-vmk,Curio Coffee,42.371653,-71.08351,441 Cambridge St,Cambridge,MA,2141,US,55
22d-222@62j-sj2-vzz,Skampa,42.371281,-71.083318,424 Cambridge St,Cambridge,MA,2141,US,88
287-222@62j-sj2-vzz,Le's Sushi Bar & Restaurant,42.37161,-71.083254,425 Cambridge St,Cambridge,MA,2141,US,164
25t-222@62j-sj2-vzz,The Brothers Market,42.371307,-71.083079,414 Cambridge St,Cambridge,MA,2141,US,86
23j-222@62j-sj2-vzz,Aram's No 2 Pizza & Subs,42.371476,-71.081655,345 Cambridge St,Cambridge,MA,2141,US,72
zzw-222@62j-sj3-5xq,Desfina Restaurant,42.367536,-71.080956,202 3rd St,Cambridge,MA,2141,US,163
247-222@62j-shx-j7q,Royal Punjab,42.371232,-71.080153,251 Cambridge St,Cambridge,MA,2141,US,119
22z-222@62j-shx-j7q,Sweet Touch Cafe,42.371195,-71.079971,241 Cambridge St,Cambridge,MA,2141,US,168
243-222@62j-shx-j7q,Dunkin',42.372246,-71.07982,5 3rd St,Cambridge,MA,2141,US,176
23m-222@62j-shx-k4v,2nd Street Cafe,42.36853,-71.079323,89 2nd St,Cambridge,MA,2141,US,132
zzw-222@62j-shx-jvz,Blaze Pizza,42.369371,-71.077051,1 Canal Park,Cambridge,MA,2141,US,113
zzw-224@62j-shx-k9f,Burger King,42.368323,-71.076618,100 Cambridgeside Pl,Cambridge,MA,2141,US,170
zzw-22m@62j-shx-k9f,Chiang Mai Thai,42.368429,-71.076617,100 Cambridgeside Pl,Cambridge,MA,2141,US,35065
zzw-233@62j-shx-k9f,Panda Express,42.368501,-71.076611,100 Cambridgeside Pl,Cambridge,MA,2141,US,79
zzw-227@62j-shx-jy9,Pretzelmaker,42.367904,-71.076596,100 Cambridgeside Pl,Cambridge,MA,2141,US,327
zzw-22q@62j-shx-k9f,Chipotle Mexican Grill,42.368604,-71.076589,100 Cambridgeside Pl Spc F21,Cambridge,MA,2141,US,74
zzw-225@62j-shx-k9f,Taco Bell,42.368301,-71.076502,100 Cambridgeside Pl,Cambridge,MA,2141,US,35065
zzw-227@62j-shx-k9f,Sarku Japan,42.368587,-71.076437,100 Cambridgeside Pl # 119,Cambridge,MA,2141,US,35065
zzw-226@62j-shx-k9f,Fava Bean Mediterranean,42.368641,-71.076369,100 Cambridgeside Pl,Cambridge,MA,2141,US,35065
zzw-22r@62j-shx-k9f,Dunkin',42.368303,-71.076204,100 Cambridgeside Pl,Cambridge,MA,2141,US,35065
zzw-22x@62j-shx-k9f,The Cheesecake Factory,42.368173,-71.076195,100 Cambridgeside Pl,Cambridge,MA,2141,US,35065
zzw-22b@62j-shx-k9f,Charley's,42.368182,-71.076192,100 Cambridgeside Pl,Cambridge,MA,2141,US,35065
2cb-229@62j-shx-hqz,Gong Cha,42.368469,-71.076159,100 Cambridgeside Pl,Cambridge,MA,2141,US,35065
22x-222@62j-shx-jvz,Geppetto,42.372007,-71.075711,100 N First St,Cambridge,MA,2141,US,377
zzw-223@62j-shx-gx5,The Lexington,42.37196,-71.075408,100 N First St,Cambridge,MA,2141,US,643
zzw-222@62j-shx-gx5,Cafe Beatrice,42.371938,-71.075402,100 N First St,Cambridge,MA,2141,US,643
zzw-222@62j-shx-ht9,Bambara,42.367971,-71.075004,25 Edwin H Land Blvd,Cambridge,MA,2141,US,35065
224-222@62j-shx-j35,Boston Convenience,42.370001,-71.073074,1 Leighton St,Cambridge,MA,2141,US,3146
239-222@62j-sj2-7dv,Earnest Drinks,42.367958,-71.090294,399 Binney St,Cambridge,MA,2142,US,3547
zzw-222@62j-sj2-d9z,Dumpling Daughter,42.363468,-71.088546,73 Ames St,Cambridge,MA,2142,US,252
zzw-222@62j-sj3-4d9,Vester,42.363164,-71.088442,73 Ames St,Cambridge,MA,2142,US,216
zzy-222@62j-sj3-49z,Starbucks,42.363929,-71.087885,120 Broadway 6 Cambridge Center,Cambridge,MA,2142,US,244
229-222@62j-sj3-4d9,CAVA,42.363101,-71.087854,82 Ames St,Cambridge,MA,2142,US,1822
22g-222@62j-sj3-4d9,Blue Bottle Coffee,42.36335,-71.08775,88 Ames St Ste R120,Cambridge,MA,2142,US,1822
222-222@62j-sj3-4d9,Clover KND,42.362844,-71.087726,5 Cambridge Ctr,Cambridge,MA,2142,US,920
222-224@62j-sj3-4d9,Clover Food Lab,42.362854,-71.087715,5 Cambridge Ctr,Cambridge,MA,2142,US,920
zzw-222@62j-sj3-2c5,Discovery Cafe,42.366604,-71.086178,157 6th St,Cambridge,MA,2142,US,8468
zzw-222@62j-sj3-47q,Chipotle Mexican Grill,42.36255,-71.085605,255 Main St,Cambridge,MA,2142,US,102
2dz-222@62j-sj3-2zf,B.GOOD,42.364305,-71.084033,301 3rd St,Cambridge,MA,2142,US,3610
222-224@62j-sj3-33q,Shy Bird,42.362666,-71.083994,1 Broadway,Cambridge,MA,2142,US,275
222-223@62j-sj3-33q,Dunkin',42.362829,-71.083961,1 Broadway,Cambridge,MA,2142,US,5109
222-22n@62j-sj3-33q,Dig Inn,42.362862,-71.083818,1 Broadway,Cambridge,MA,2142,US,5109
222-226@62j-sj3-33q,Brothers Market,42.362592,-71.083334,1 Broadway,Cambridge,MA,2142,US,1551
222-227@62j-sj3-33q,Roche Brothers Supermarket,42.362459,-71.083315,1 Broadway,Cambridge,MA,2142,US,5109
22b-222@62j-sj3-2zf,Za,42.363578,-71.083294,350 3rd St,Cambridge,MA,2142,US,4002
22b-223@62j-sj3-2zf,EVOO Restaurant,42.363587,-71.083219,350 3rd St,Cambridge,MA,2142,US,4002
zzw-224@62j-sj3-2tv,Cambridge Spirits,42.363447,-71.082858,9 Broad Canal Way,Cambridge,MA,2142,US,4002
zzw-222@62j-sj3-2tv,Shanti Restaurant Cambridge,42.363486,-71.082828,7 Broad Canal Way,Cambridge,MA,2142,US,242
zzy-222@62j-sj3-3bk,Tatte Bakery & Cafe,42.36491,-71.08259,318 3rd St,Cambridge,MA,2142,US,166
zzw-223@62j-sj3-2tv,Commonwealth Restaurant and Market,42.363323,-71.08247,11 Broad Canal Way,Cambridge,MA,2142,US,523
222-222@62j-sj3-3bk,Fuji At Kendall,42.365326,-71.082368,300 3rd St,Cambridge,MA,2142,US,2913
224-222@62j-sj3-3bk,Aceituna Grill,42.364393,-71.082097,605 W Kendall St,Cambridge,MA,2142,US,151
225-223@62j-sj3-3bk,Mother Juice,42.364512,-71.082035,625 W Kendall St,Cambridge,MA,2142,US,4209
223-223@62j-sj3-3bk,PlantPub,42.364673,-71.081961,675 W Kendall St,Cambridge,MA,2142,US,4209
zzw-223@62j-sj3-2kz,Sumiao Hunan Kitchen,42.366024,-71.081946,270 3rd St,Cambridge,MA,2142,US,1176
227-222@62j-sj3-2tv,Glass House,42.363373,-71.081453,450 Kendall St,Cambridge,MA,2142,US,960
226-222@62j-sj3-5j9,Bon Me Test Kitchen,42.365056,-71.079892,60 Binney St,Cambridge,MA,2142,US,74
zzw-222@62j-shx-qxq,Lily P's,42.364905,-71.078657,50 Binney St Ste 1,Cambridge,MA,2142,US,2487
222-222@62j-sj3-5vf,Toscanini's Ice Cream,42.366118,-71.078269,159 1st St,Cambridge,MA,2142,US,441
224-222@62j-sj3-5vf,Boca Grande,42.366295,-71.078206,149 1st St,Cambridge,MA,2142,US,217
22b-223@62j-sj3-5vf,The Similans,42.366363,-71.07819,145 1st St,Cambridge,MA,2142,US,152
22f-222@62j-sj3-5vf,Helmand Restaurant,42.366473,-71.078164,143 1st St,Cambridge,MA,2142,US,269
zzw-225@62j-sj3-5vf,Shabu & Mein,42.366444,-71.077742,148 1st St,Cambridge,MA,2142,US,95
zzw-222@62j-shx-td9,Art Bar,42.367183,-71.074439,40 Edwin H Land Blvd,Cambridge,MA,2142,US,1401
