Number,Name,y,x,District,Public,Total docks
D32000,Cambridge St at Joy St,42.36125722,-71.06528744,Boston,Yes,15
M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,Cambridge,Yes,15
A32046,Canal St at Causeway St,42.36530095,-71.06092191,Boston,Yes,0
H32001,Cary Square,42.39813565,-71.03070972,Chelsea,Yes,12
M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,Cambridge,Yes,17
M32011,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Cambridge,Yes,19
A32041,Central Square East Boston,42.37544913,-71.03918549,Boston,Yes,15
C32086,Centre St at Parkway YMCA,42.28277901,-71.15728851,Boston,Yes,19
E32008,Centre St at Seaverns Ave,42.3121203,-71.1142981,Boston,Yes,0
C32085,Centre St at W. Roxbury Post Office,42.28633199,-71.15344755,Boston,Yes,19
N32000,Centre St at Washington St,42.35574335,-71.18641943,Newton,Yes,11
D32016,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,Boston,Yes,19
D32039,Charlestown Navy Yard,42.37412455,-71.054812,Boston,Yes,23
H32003,Chelsea Square,42.39022671,-71.03857018,Chelsea,Yes,11
A32027,Chelsea St at Saratoga St,42.379772,-71.027448,Boston,Yes,15
V32009,Chelsea St at Vine St,42.40328057,-71.0476264,Everett,Yes,15
H32005,Chelsea Station,42.39636528,-71.03987179,Chelsea,Yes,11
M32049,Child St at North St,42.37150494,-71.07249312,Cambridge,Yes,23
D32015,Chinatown Gate Plaza,42.351356,-71.059367,Boston,Yes,19
D32019,Chinatown T Stop,42.352409,-71.062679,Boston,Yes,19
B32005,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,Boston,Yes,19
S32010,Clarendon Hill at Broadway,42.406302,-71.132446,Somerville,Yes,15
D32047,Clarendon St at Newbury St,42.35155308,-71.07569031,Boston,Yes,19
B32035,Cleveland Circle,42.33554308,-71.1506152,Boston,Yes,15
C32055,Codman Square Library,42.2873611,-71.071111,Boston,Yes,17
B32006,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512,-71.10061884,Boston,Yes,15
B32029,Columbia Rd at Ceylon St,42.309572,-71.0729,Boston,Yes,15
C32052,Columbia Rd at Tierney Community Center,42.33023071,-71.05060093,Boston,Yes,19
C32077,Columbus Ave at W. Canton St,42.34474225,-71.07648162,Boston,Yes,19
A32002,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,Boston,Yes,15
K32006,Commonwealth Ave At Babcock St,42.35154735,-71.12126246,Brookline,Yes,15
D32033,Commonwealth Ave at Chiswick Rd,42.34024645,-71.15168806,Boston,Yes,19
A32017,Commonwealth Ave at Griggs St,42.34922469,-71.13275303,Boston,Yes,15
D32034,Commonwealth Ave at Kelton St,42.34835863,-71.13997217,Boston,Yes,15
S32022,Community Path at Cedar Street,42.39407224,-71.11133695,Somerville,Yes,15
S32040,Community Path at Lowell St,42.392525,-71.105587,Somerville,Yes,19
D32009,Congress St at Boston City Hall,42.36041775,-71.05752244,Boston,Yes,23
C32032,Congress St at Northern Ave,42.3481,-71.03764,Boston,Yes,0
C32010,Congress St at Sleeper St,42.3510045,-71.04930013,Boston,Yes,19
S32004,Conway Park - Somerville Avenue,42.383405,-71.107593,Somerville,Yes,23
K32001,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,Brookline,Yes,19
W32001,Coolidge Sq.,42.37207611,-71.15683131,Watertown,Yes,12
D32005,Copley Square - Dartmouth St at Boylston St,42.34992828,-71.07739207,Boston,Yes,33
S32037,Craigie at Summer St,42.38830554,-71.11067977,Somerville,Yes,19
D32010,Cross St at Hanover St,42.362811,-71.056067,Boston,Yes,19
E32001,Curtis Hall - South St at Centre St,42.309054,-71.11543,Boston,Yes,15
K32009,Cypress St at Clark Playground,42.32784317,-71.12536222,Brookline,Yes,15
M32030,Dana Park,42.36178044,-71.10809952,Cambridge,Yes,19
M32031,Danehy Park,42.388966,-71.132788,Cambridge,Yes,17
D32045,Dartmouth St at Newbury St,42.35096144,-71.07782811,Boston,Yes,19
S32006,Davis Square,42.396969,-71.123024,Somerville,Yes,25
A32051,Day Sq,42.379295,-71.027733,Boston,Yes,16
B32037,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,Boston,Yes,19
M32066,Discovery Park - 30 Acorn Park Drive,42.39790817,-71.14797131,Cambridge,Yes,23
C32009,Dorchester Ave at Gillette Park,42.34404051,-71.05737627,Boston,Yes,15
C32066,Dorchester Ave at King St,42.29175622,-71.0625918,Boston,Yes,0
B32017,Dudley Square - Bolling Building,42.32984299,-71.08386572,Boston,Yes,18
C32015,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,Boston,Yes,0
