Number,Name,Latitude,Longitude,District,Public,Total docks,Deployment Year
M32039,Lesley University,42.386748,-71.11901879,Cambridge,Yes,15,2015.0
M32025,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,Cambridge,Yes,19,2013.0
M32022,Lower Cambridgeport at Magazine St / Riverside Rd,42.357218,-71.11387163,Cambridge,Yes,19,2012.0
M32061,Mass Ave at Albany St,42.361358,-71.09670274,Cambridge,Yes,18,2019.0
M32056,Mass Ave at Hadley/Walden,42.39121,-71.12260755,Cambridge,Yes,19,2018.0
M32006,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Cambridge,Yes,27,2012.0
M32070,MIT Carleton St at Amherst St,42.360542,-71.08669817,Cambridge,Yes,27,2020.0
M32071,MIT Hayward St at Amherst St,42.360859,-71.08551858,Cambridge,Yes,27,2020.0
M32041,MIT Pacific St at Purrington St,42.359573,-71.10129476,Cambridge,Yes,19,2015.0
M32005,MIT Stata Center at Vassar St / Main St,42.362131,-71.09115601,Cambridge,Yes,35,2012.0
M32042,MIT Vassar St,42.355601,-71.10394478,Cambridge,Yes,25,2015.0
M32043,Mt Auburn,42.374786,-71.13320231,Cambridge,Yes,19,2015.0
M32045,Museum of Science,42.36769,-71.07116282,Cambridge,Yes,19,2017.0
M32076,Old Morse Park at Putnam Ave,42.357662,-71.10841334,Cambridge,Yes,15,2021.0
M32003,One Broadway / Kendall Sq at Main St / 3rd St,42.362242,-71.08311072,Cambridge,Yes,23,2012.0
M32002,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,Cambridge,Yes,19,2012.0
M32053,One Memorial Drive,42.361619,-71.08043551,Cambridge,Yes,19,2017.0
M32029,Porter Square Station,42.387995,-71.119084,Cambridge,Yes,19,2013.0
M32079,Raymond Park at Walden St,42.38737,-71.12761001,Cambridge,Yes,19,2022.0
M32036,Rindge Avenue - O'Neill Library,42.392766,-71.129042,Cambridge,Yes,19,2014.0
M32035,Rogers St & Land Blvd,42.366447,-71.07654601,Cambridge,Yes,19,2018.0
M32063,Sennott Park Broadway at Norfolk Street,42.368605,-71.09930186,Cambridge,Yes,19,2019.0
M32047,Sidney Research Campus/Erie Street at Waverly,42.357753,-71.10393405,Cambridge,Yes,19,2016.0
M32069,Smith Pl at Wilson Rd,42.392397,-71.15058332,Cambridge,Yes,19,2020.0
M32048,Third at Binney,42.365445,-71.08277142,Cambridge,Yes,15,2016.0
M32040,University Park,42.362648,-71.10006094,Cambridge,Yes,18,2015.0
M32057,Vassal Lane at Tobin/VLUS,42.385368,-71.13775671,Cambridge,Yes,19,2018.0
M32050,Verizon Innovation Hub 10 Ware Street,42.372509,-71.11305356,Cambridge,Yes,19,2017.0
