placekey,location_name,latitude,longitude,street_address,city,region,postal_code,iso_country_code,top_category
23f-222@62j-sj2-rzf,Toscanini's Ice Cream,42.363592,-71.099497,899 Main St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
zzw-228@62j-sj3-33q,Kika Tapas,42.363444,-71.082966,5 Broad Canal Way,Cambridge,MA,2142,US,Restaurants and Other Eating Places
223-224@62j-sgg-5j9,Zephyr On the Charles,42.35376,-71.105473,575 Memorial Dr,Cambridge,MA,2139,US,Restaurants and Other Eating Places
22k-223@62j-sjv-9mk,Milk Bar,42.373613,-71.119502,3 Brattle St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
22x-222@62j-shx-jvz,Geppetto,42.372007,-71.075711,100 N First St,Cambridge,MA,2141,US,Restaurants and Other Eating Places
25n-222@62j-sjv-9zz,Tom's Bao Bao,42.372245,-71.120861,84 Winthrop St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
zzw-23j@62j-shx-k9f,Chicken Now,42.368204,-71.076154,100 Cambridgeside Pl,Cambridge,MA,2141,US,Restaurants and Other Eating Places
222-223@62j-sj3-9fz,Beauty's Pizza,42.372775,-71.099329,187 Hampshire St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
25n-223@62j-sjs-v75,Hana Sushi,42.396633,-71.12982,2372 Massachusetts Ave,Cambridge,MA,2140,US,Restaurants and Other Eating Places
223-224@62j-sk2-y5f,Starbucks,42.390043,-71.118227,49 White St,Cambridge,MA,2140,US,Restaurants and Other Eating Places
25v-222@62j-sjv-b6k,Boloco Harvard,42.373128,-71.12337099999999,71 Mount Auburn St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
24x-222@62j-sjv-9zz,Park Restaurant & Bar,42.371882,-71.121144,59 JFK St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
24y-222@62j-sjv-975,The Just Crust,42.374303999999995,-71.121482,49B Brattle St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
zzw-225@62j-sjs-3yv,McDonald's,42.390334,-71.14072900000001,186 Alewife Brook Pkwy,Cambridge,MA,2138,US,Restaurants and Other Eating Places
25x-222@62j-sj3-4vz,Kendall,42.367616999999996,-71.081342,201 3rd St,Cambridge,MA,2141,US,Restaurants and Other Eating Places
24b-222@62j-sjv-g8v,Basta Pasta Trattoria,42.36469,-71.113258,319 Western Ave,Cambridge,MA,2139,US,Restaurants and Other Eating Places
25x-222@62j-sj2-j9z,Angelo's Pizza,42.372968,-71.110736,444 Broadway,Cambridge,MA,2138,US,Restaurants and Other Eating Places
235-222@62j-sj2-syv,1369 Coffee House,42.366566,-71.10529,757 Massachusetts Ave,Cambridge,MA,2139,US,Restaurants and Other Eating Places
23h-222@62j-sjv-g6k,The Coast Cafe,42.363096999999996,-71.11159599999999,233 River St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
zzw-22q@62j-shx-k9f,Chipotle Mexican Grill,42.368604,-71.076589,100 Cambridgeside Pl Spc F21,Cambridge,MA,2141,US,Restaurants and Other Eating Places
