tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time
237,12:01.1,15:58.8,318,Ames St at Broadway,42.3636929,-71.0875672,398,75 Binney St,42.36550729,-71.0801376,5795,Subscriber,1965,1,258221,-71.08623358,42.36270448,203471,-71.08042853,42.36366982,25921,26158
294,14:06.6,19:01.1,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,185,Third at Binney,42.36544486,-71.08277142,4936,Subscriber,1991,1,124538,-71.09508725,42.35692037,182848,-71.0827986,42.36802902,26046,26341
264,14:49.7,19:14.6,413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,107,Ames St at Main St,42.3625,-71.08822,5233,Subscriber,1993,1,225432,-71.08437962,42.37056867,259924,-71.08839543,42.36347756,26089,26354
277,16:10.8,20:47.9,189,Kendall T,42.36242784,-71.08495474,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,5229,Subscriber,1992,1,259919,-71.08550816,42.36192178,28861,-71.09350316,42.36746475,26170,26447
286,28:07.9,32:54.0,413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,107,Ames St at Main St,42.3625,-71.08822,2251,Subscriber,1966,1,20730,-71.08367518,42.36834552,259928,-71.08703295,42.36499122,26887,27174
304,38:51.0,43:55.6,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,318,Ames St at Broadway,42.3636929,-71.0875672,5580,Subscriber,1957,2,41556,-71.09580711,42.35668294,153300,-71.08472255,42.36206325,27531,27835
220,39:02.1,42:42.6,107,Ames St at Main St,42.3625,-71.08822,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,2251,Subscriber,1997,1,153300,-71.08472255,42.36206325,41556,-71.09580711,42.35668294,27542,27762
274,45:09.0,49:43.6,185,Third at Binney,42.36544486,-71.08277142,107,Ames St at Main St,42.3625,-71.08822,4784,Subscriber,1986,1,257515,-71.0808838,42.36514465,259924,-71.08839543,42.36347756,27908,28183
376,46:39.0,52:55.5,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,228,One Memorial Drive,42.36161932,-71.08043551,3515,Subscriber,1990,2,201825,-71.0935271,42.36011991,224974,-71.08321662,42.36143689,27999,28375
398,47:34.4,54:13.0,189,Kendall T,42.36242784,-71.08495474,144,Rogers St & Land Blvd,42.36575798,-71.07699394,2292,Subscriber,1987,1,156596,-71.08589755,42.36456688,257860,-71.07915297,42.36489464,28054,28453
304,51:19.6,56:24.4,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,189,Kendall T,42.36242784,-71.08495474,6065,Subscriber,1992,1,65999,-71.09194602,42.36866711,203467,-71.08197325,42.36345317,28279,28584
150,56:23.2,58:54.0,398,75 Binney St,42.36550729,-71.0801376,117,Binney St / Sixth St,42.36608797,-71.08633604,5989,Subscriber,1974,2,184096,-71.08108718,42.36799091,128198,-71.08374094,42.36496042,28583,28734
356,58:59.2,04:55.8,189,Kendall T,42.36242784,-71.08495474,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,6065,Subscriber,1977,1,203988,-71.08749692,42.36175463,258229,-71.09068905,42.36703951,28739,29095
371,59:22.6,05:34.3,189,Kendall T,42.36242784,-71.08495474,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,2544,Subscriber,1977,1,259917,-71.08583953,42.36188829,20738,-71.07942175,42.36804826,28762,29134
158,01:37.4,04:16.0,185,Third at Binney,42.36544486,-71.08277142,189,Kendall T,42.36242784,-71.08495474,4664,Subscriber,1992,1,203475,-71.08513341,42.36435134,203986,-71.08733726,42.36046472,28897,29056
311,03:00.5,08:11.9,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,398,75 Binney St,42.36550729,-71.0801376,5866,Subscriber,1989,2,135141,-71.07862802,42.36987963,203466,-71.0812325,42.36473335,28980,29291
212,07:59.5,11:32.2,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,189,Kendall T,42.36242784,-71.08495474,5446,Subscriber,1991,1,51961,-71.09298949,42.36473294,4332,-71.08353677,42.36120873,29279,29492
293,09:25.5,14:19.3,318,Ames St at Broadway,42.3636929,-71.0875672,398,75 Binney St,42.36550729,-71.0801376,3551,Subscriber,1962,1,202846,-71.08667725,42.36321684,246696,-71.07926623,42.36430443,29365,29659
375,12:28.5,18:43.9,413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,80,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,2825,Subscriber,1992,1,184103,-71.08513989,42.36945704,259936,-71.09449747,42.361092,29548,29923
469,14:40.4,22:29.8,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,117,Binney St / Sixth St,42.36608797,-71.08633604,5035,Subscriber,2000,1,201807,-71.09291774,42.35871045,153493,-71.08987465,42.36646575,29680,30149
512,16:49.3,25:22.0,413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,437,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,2093,Subscriber,1984,1,20730,-71.08367518,42.36834552,184681,-71.09254888,42.37164898,29809,30321
267,17:47.2,22:14.8,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,189,Kendall T,42.36242784,-71.08495474,3130,Subscriber,1988,1,11391,-71.0934081,42.36828698,259920,-71.08765373,42.36325299,29867,30134
454,19:31.3,27:05.6,189,Kendall T,42.36242784,-71.08495474,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,4664,Subscriber,1974,1,50515,-71.08726449,42.36220002,190622,-71.0789125,42.36707225,29971,30425
302,22:03.2,27:05.7,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,189,Kendall T,42.36242784,-71.08495474,3887,Subscriber,1992,1,103004,-71.09127079,42.36847077,225269,-71.08435148,42.36380294,30123,30425
286,25:55.6,30:42.1,107,Ames St at Main St,42.3625,-71.08822,185,Third at Binney,42.36544486,-71.08277142,3748,Subscriber,1957,2,201822,-71.08985732,42.36070516,20736,-71.08317366,42.36806962,30355,30642
482,26:03.3,34:05.6,437,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,189,Kendall T,42.36242784,-71.08495474,4359,Subscriber,1988,0,11055,-71.08931999,42.37350892,259921,-71.08463183,42.36170904,30363,30845
810,26:51.5,40:22.1,437,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,2093,Subscriber,1984,1,11223,-71.08927898,42.37145564,201804,-71.09277125,42.35952966,30411,31222
187,26:58.5,30:05.8,189,Kendall T,42.36242784,-71.08495474,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,4896,Subscriber,1995,1,203474,-71.08617738,42.36479214,183306,-71.09292919,42.36802393,30418,30605
227,29:31.3,33:18.4,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,107,Ames St at Main St,42.3625,-71.08822,5437,Subscriber,1995,1,4324,-71.09505494,42.35814262,259928,-71.08703295,42.36499122,30571,30798
347,30:02.8,35:49.9,413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,228,One Memorial Drive,42.36161932,-71.08043551,3978,Subscriber,1995,1,102218,-71.08352942,42.36896571,203469,-71.0809096,42.36389212,30602,30949
320,32:12.6,37:33.4,413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,107,Ames St at Main St,42.3625,-71.08822,3128,Subscriber,1996,1,24631,-71.08615428,42.36727305,153300,-71.08472255,42.36206325,30732,31053
224,32:12.9,35:57.6,107,Ames St at Main St,42.3625,-71.08822,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,5307,Subscriber,1942,1,69953,-71.08937202,42.36342991,124538,-71.09508725,42.35692037,30732,30957
460,34:02.1,41:43.0,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,107,Ames St at Main St,42.3625,-71.08822,3989,Subscriber,1981,1,225629,-71.07820815,42.36702325,4340,-71.08813757,42.36040837,30842,31303
557,37:37.5,46:54.6,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,3577,Customer,1991,1,92072,-71.07938385,42.37213335,41312,-71.09365711,42.36731188,31057,31614
