activity_id,start_latitude,start_longitude,end_latitude,end_longitude,travel_purpose,start_time,end_time,duration_minutes,distance_miles,start_hour,same_place
1.9125976564773683e+18,42.373371,-71.118965,42.37878766255224,-71.15485994302101,EAT,2022-08-30 06:17:40,2022-08-30 06:22:46,5,2.409959860029379,6,No
8.362763525511009e+18,42.361649,-71.09047,42.354988,-71.103274,EAT,2022-08-30 06:17:44,2022-08-30 06:20:44,3,1.057134750761832,6,No
1.5000300029330717e+19,42.388388,-71.11823199999999,42.36667452500046,-71.09647904322009,EAT,2022-08-30 06:19:31,2022-08-30 06:26:52,7,3.164841837722947,6,No
1.243359345929096e+19,42.373371,-71.118965,42.36959949085282,-71.09813020815389,EAT,2022-08-30 06:19:48,2022-08-30 06:23:43,3,1.676732602610577,6,No
1.729621813231965e+19,42.369628000000006,-71.1114,42.370506489596785,-71.11038008874043,EAT,2022-08-30 06:22:00,2022-08-30 06:24:47,2,0.1445890980393,6,No
6.68834230212931e+18,42.375451,-71.149096,42.37747670910693,-71.14975090214722,EAT,2022-08-30 06:25:06,2022-08-30 06:27:11,2,0.6368658171649261,6,No
1.7568649949364857e+19,42.369628000000006,-71.1114,42.370382243872754,-71.11003869562896,EAT,2022-08-30 06:27:36,2022-08-30 06:29:09,1,0.08098831232279902,6,No
9.987276450964703e+18,42.366118,-71.07826899999999,42.36467240318265,-71.08384421052558,EAT,2022-08-30 06:28:34,2022-08-30 06:29:47,1,0.063804198312971,6,No
5.488303449202891e+17,42.369859000000005,-71.06882399999999,42.371713,-71.07410300000001,EAT,2022-08-30 06:30:13,2022-08-30 06:37:10,6,0.360489647321142,6,No
7.224321240806376e+18,42.373371,-71.118965,42.37298,-71.118463,EAT,2022-08-30 06:31:17,2022-08-30 06:31:56,0,0.033973472180311,6,No
6.998007998813701e+18,42.371328999999996,-71.11647099999999,42.371963,-71.120281,EAT,2022-08-30 06:32:40,2022-08-30 06:34:28,1,0.6655950444118339,6,No
8.868864539000015e+18,42.369628000000006,-71.1114,42.372894381875376,-71.10385713609077,EAT,2022-08-30 06:34:01,2022-08-30 06:37:00,2,1.255574544991857,6,No
9.113548559711984e+18,42.372027,-71.120423,42.372069,-71.11994,EAT,2022-08-30 06:37:12,2022-08-30 06:39:08,1,0.10056489853915102,6,No
8.461744853752118e+18,42.38192,-71.119949,42.382671715074046,-71.1204127755536,EAT,2022-08-30 06:37:21,2022-08-30 06:38:55,1,0.081732429670651,6,No
2.251425622942857e+17,42.38192,-71.119949,42.36947550060306,-71.11092061033648,EAT,2022-08-30 06:38:00,2022-08-30 07:04:29,26,1.371555874353499,6,No
2.0208283689386967e+18,42.374189,-71.121151,42.373559,-71.119619,EAT,2022-08-30 06:39:14,2022-08-30 06:39:14,0,0.0,6,No
9.673201649194426e+18,42.373371,-71.118965,42.3688287920458,-71.08352749647105,EAT,2022-08-30 06:41:48,2022-08-30 06:47:34,5,2.448196377434881,6,No
9.226237428362402e+18,42.371328999999996,-71.11647099999999,42.371219,-71.117438,EAT,2022-08-30 06:44:25,2022-08-30 06:44:56,0,0.026774351499837003,6,No
1.135228763433838e+19,42.373371,-71.118965,42.37157307167209,-71.1151850709258,EAT,2022-08-30 06:44:25,2022-08-30 06:45:54,1,0.07761118727250702,6,No
1.4846609363473574e+19,42.371281,-71.083318,42.371673172096045,-71.08628372163403,EAT,2022-08-30 06:44:32,2022-08-30 06:44:33,0,0.0012668980782010002,6,No
1.29417942742031e+19,42.361649,-71.09047,42.361889,-71.090546,EAT,2022-08-30 06:50:06,2022-08-30 06:58:10,8,0.40222980283620297,6,No
6.326319424879826e+18,42.367713,-71.071562,42.369713,-71.078715,EAT,2022-08-30 06:51:32,2022-08-30 06:53:28,1,0.10022840331652802,6,No
1.6055987783600065e+19,42.371281,-71.083318,42.37249220768717,-71.08268171132707,EAT,2022-08-30 06:52:10,2022-08-30 06:53:39,1,0.07695629430621401,6,No
8.129436234751688e+18,42.373371,-71.118965,42.359135058523044,-71.10838033061394,EAT,2022-08-30 06:55:38,2022-08-30 07:08:54,13,2.4227996455520717,6,No
7.470658629854871e+18,42.374189,-71.121151,42.373902,-71.119647,EAT,2022-08-30 06:57:01,2022-08-30 06:57:37,0,0.031175919203573,6,No
8.080647962429197e+17,42.366646,-71.086437,42.38575897838161,-71.11996139647738,EAT,2022-08-30 06:57:03,2022-08-30 07:07:07,10,4.506096526820931,6,No
4.117572045298548e+18,42.388388,-71.11823199999999,42.36957923614511,-71.09994421431794,EAT,2022-08-30 06:57:32,2022-08-30 07:01:57,4,2.368102173472584,6,No
6.834465490717072e+18,42.361649,-71.09047,42.370504,-71.077228,EAT,2022-08-30 06:57:57,2022-08-30 07:19:11,21,1.1002076061903172,6,No
5.426118573595384e+18,42.371959999999994,-71.075408,42.372997396889865,-71.07877301616251,EAT,2022-08-30 07:01:20,2022-08-30 07:02:28,1,0.34563172185261504,7,No
1.283206061161377e+19,42.398697,-71.132186,42.400112499294345,-71.13258605136521,EAT,2022-08-30 07:01:21,2022-08-30 07:04:26,3,0.159938030711751,7,No
1.0517660242001002e+19,42.384488,-71.11983000000001,42.390918682346815,-71.12538466370042,EAT,2022-08-30 07:01:29,2022-08-30 07:03:11,1,0.694744600302854,7,No
1.4368727252315318e+19,42.384488,-71.11983000000001,42.39083554277271,-71.1242533263425,EAT,2022-08-30 07:01:29,2022-08-30 07:03:26,1,0.7891040077862521,7,No
2.1824154438480228e+18,42.371777,-71.120631,42.371219,-71.117438,EAT,2022-08-30 07:03:00,2022-08-30 07:03:56,0,0.049054424438134,7,No
1.2254684546341628e+19,42.372440999999995,-71.118977,42.374029,-71.114152,EAT,2022-08-30 07:03:00,2022-08-30 07:05:05,2,0.8622272774220031,7,No
5.75881558182991e+18,42.361649,-71.09047,42.365178,-71.10275899999999,EAT,2022-08-30 07:03:48,2022-08-30 07:07:46,3,1.3541696794131741,7,No
1.5611317169504057e+19,42.372440999999995,-71.118977,42.378529,-71.123497,EAT,2022-08-30 07:03:57,2022-08-30 07:06:47,2,0.9239817271128832,7,No
9.718497569190724e+18,42.365244,-71.08233299999999,42.364369,-71.081379,EAT,2022-08-30 07:04:41,2022-08-30 07:05:39,0,0.050508882097348,7,No
1.447571946240325e+17,42.384488,-71.11983000000001,42.390730793831885,-71.12620615650636,EAT,2022-08-30 07:04:52,2022-08-30 07:07:11,2,0.932979378069192,7,No
1.27056134448556e+19,42.384488,-71.11983000000001,42.39165921427147,-71.12459075067973,EAT,2022-08-30 07:05:07,2022-08-30 07:07:01,1,0.751176170040417,7,No
1.3634835689931977e+19,42.38192,-71.119949,42.39165921427147,-71.12459075067973,EAT,2022-08-30 07:05:25,2022-08-30 07:07:02,1,0.6469992588638931,7,No
1.481068327673801e+19,42.360789000000004,-71.096565,42.364292623800026,-71.1005865833299,EAT,2022-08-30 07:05:44,2022-08-30 07:07:09,1,0.073443640892227,7,No
1.5007545935708422e+19,42.359066,-71.09474399999999,42.363108086154256,-71.10704134958712,EAT,2022-08-30 07:06:14,2022-08-30 07:09:46,3,1.2121871823963992,7,No
1.6796505107367225e+19,42.384488,-71.11983000000001,42.36435779487641,-71.10046657774024,EAT,2022-08-30 07:06:14,2022-08-30 07:11:29,5,2.38451130312125,7,No
9.52989996371274e+18,42.372246000000004,-71.07982,42.37126860764015,-71.08339154861841,EAT,2022-08-30 07:08:00,2022-08-30 07:08:49,0,0.274138299804617,7,No
