activity_id,start_latitude,start_longitude,end_latitude,end_longitude,travel_purpose,start_time,end_time,duration_minutes,distance_miles
5.364932743747647e+18,42.363468,-71.088546,42.364379731026176,-71.08748625842323,EAT,2022-07-08 04:23:13,2022-07-08 04:26:35,3,0.17473829434263102
1.2981874486762252e+19,42.366056,-71.092182,42.367883,-71.080258,EAT,2022-07-08 05:38:49,2022-07-08 05:46:52,8,0.41764251054392304
1.1506966878487837e+19,42.363027,-71.091578,42.36669712463949,-71.08704170616099,EAT,2022-07-08 06:16:11,2022-07-08 06:17:06,0,0.048110294224205014
6.119216926873891e+18,42.362854,-71.087715,42.36673610421412,-71.0857140698884,EAT,2022-07-08 06:59:22,2022-07-08 07:00:57,1,0.6307117234322409
1.6177487571677514e+19,42.36255,-71.085605,42.364379731026176,-71.08748625842323,EAT,2022-07-08 07:07:33,2022-07-08 07:07:33,0,0.0
4.3475478864425487e+18,42.36335,-71.08775,42.3647360340233,-71.09299564241756,EAT,2022-07-08 07:22:00,2022-07-08 07:25:42,3,0.19222219942842605
1.41539858335455e+19,42.36255,-71.085605,42.36985762970603,-71.08608995473998,EAT,2022-07-08 07:26:49,2022-07-08 07:29:43,2,0.9960993522626572
1.8088173766734515e+18,42.363147999999995,-71.093133,42.362149,-71.087252,EAT,2022-07-08 07:43:50,2022-07-08 07:46:38,2,0.14531184475188802
1.1130089552891769e+19,42.372246000000004,-71.07982,42.369042027642124,-71.09075922254877,EAT,2022-07-08 07:52:35,2022-07-08 07:56:56,4,0.8120400735068991
1.576388941562429e+19,42.372246000000004,-71.07982,42.36979295118888,-71.08263239780422,EAT,2022-07-08 07:59:48,2022-07-08 08:00:53,1,0.31147478402062395
9.370841841810872e+17,42.362666,-71.08399399999999,42.36657009248796,-71.09289622450562,EAT,2022-07-08 08:02:08,2022-07-08 08:03:30,1,0.0709456491947
3.3749508698840663e+18,42.362666,-71.08399399999999,42.365203440269916,-71.09261412236604,EAT,2022-07-08 08:05:59,2022-07-08 08:07:34,1,0.082681680371241
1.5210136138400854e+19,42.364909999999995,-71.08259,42.3675950390852,-71.07953724904844,EAT,2022-07-08 08:13:00,2022-07-08 08:13:50,0,0.043385850670379006
7.003146350384687e+18,42.371476,-71.081655,42.363375873951135,-71.09372279245463,EAT,2022-07-08 08:24:00,2022-07-08 08:47:42,23,1.2162099110703792
1.2491243476800608e+19,42.369371,-71.077051,42.36984780039071,-71.07913298398458,EAT,2022-07-08 08:25:52,2022-07-08 08:28:38,2,0.14373114426629302
1.4894841125944945e+19,42.362207,-71.087304,42.36235693675051,-71.0815969373083,EAT,2022-07-08 08:27:07,2022-07-08 08:29:13,2,0.10879000638037199
4.957667208926959e+18,42.362666,-71.08399399999999,42.363053,-71.086022,EAT,2022-07-08 08:39:03,2022-07-08 08:39:52,0,0.042956247184422994
1.348407570324704e+18,42.362844,-71.087726,42.364379731026176,-71.08748625842323,EAT,2022-07-08 08:45:00,2022-07-08 08:47:05,2,0.108456438713035
7.078158661490544e+18,42.362666,-71.08399399999999,42.363479999999996,-71.086999,EAT,2022-07-08 08:50:44,2022-07-08 08:51:02,0,0.016238602284651002
9.70612955269032e+18,42.359113,-71.092946,42.363479999999996,-71.086999,EAT,2022-07-08 08:57:10,2022-07-08 08:58:08,0,0.5124464601538811
1.1317704378437394e+19,42.362666,-71.08399399999999,42.364379731026176,-71.08748625842323,EAT,2022-07-08 09:00:00,2022-07-08 09:03:40,3,0.190442022931628
7.006711736171213e+18,42.362790000000004,-71.085498,42.363479999999996,-71.086999,EAT,2022-07-08 09:00:03,2022-07-08 09:01:56,1,0.5144789085567979
8.886465903018851e+18,42.36255,-71.085605,42.363479999999996,-71.086999,EAT,2022-07-08 09:00:03,2022-07-08 09:01:54,1,0.5416389851230731
8.224289656729956e+18,42.365031,-71.092656,42.36522856145094,-71.09308440862,EAT,2022-07-08 09:09:48,2022-07-08 09:10:44,0,0.04863798324760401
1.6540524902559185e+19,42.362829999999995,-71.087282,42.36632169163436,-71.09211983127338,EAT,2022-07-08 09:26:34,2022-07-08 09:28:28,1,0.404001830277992
1.2555505580344697e+19,42.371938,-71.075402,42.369686877452715,-71.08487964247706,EAT,2022-07-08 09:39:00,2022-07-08 09:40:49,1,0.6813824068402929
8.971627161131933e+18,42.363147999999995,-71.093133,42.36669712463949,-71.08704170616099,EAT,2022-07-08 09:42:02,2022-07-08 09:47:03,5,0.259860001521916
1.5430488590717043e+19,42.36853,-71.079323,42.363479999999996,-71.086999,EAT,2022-07-08 09:50:16,2022-07-08 09:51:20,1,0.44085141668956196
3.73248528195012e+18,42.369817,-71.077794,42.365203440269916,-71.09261412236604,EAT,2022-07-08 09:52:50,2022-07-08 10:00:11,7,2.328444610239058
1.3222970443137e+19,42.369817,-71.077794,42.367790493151446,-71.08009801722899,EAT,2022-07-08 10:02:26,2022-07-08 10:02:53,0,0.23360857479883898
3.0658709653022234e+18,42.371476,-71.081655,42.3710172550137,-71.08696462946516,EAT,2022-07-08 10:02:42,2022-07-08 10:04:34,1,0.5858724852546291
7.17813072999213e+18,42.37175,-71.084037,42.37029280144336,-71.07724900637345,EAT,2022-07-08 10:46:17,2022-07-08 10:48:52,2,0.953533227528822
8.629650817001603e+17,42.363039,-71.088413,42.363479999999996,-71.086999,EAT,2022-07-08 11:08:38,2022-07-08 11:08:56,0,0.016238602284651002
1.8052859259296592e+19,42.362666,-71.08399399999999,42.36522856145094,-71.09308440862,EAT,2022-07-08 11:10:12,2022-07-08 11:11:33,1,0.070297784927354
