activity_id,start_latitude,start_longitude,end_latitude,end_longitude,travel_purpose,start_time,end_time,duration_minutes,distance_miles
1.41539858335455e+19,42.36335,-71.08775,42.36989214316922,-71.0861002254415,EAT,2022-07-20 07:26:49,2022-07-20 07:29:43,2,0.9960993522626572
1.738006553821424e+18,42.362790000000004,-71.085498,42.360623,-71.08743,EAT,2022-07-20 07:34:49,2022-07-20 07:39:00,4,0.21105219210138898
1.2726371529235497e+19,42.363027,-71.091578,42.363218852024886,-71.0876848536742,EAT,2022-07-20 07:35:00,2022-07-20 07:36:10,1,0.06050394513268401
1.7456839384374657e+19,42.362666,-71.08399399999999,42.36689440236739,-71.09432987215037,EAT,2022-07-20 07:41:07,2022-07-20 07:42:02,0,0.047652424849865996
6.410366452892268e+18,42.365551,-71.09015699999999,42.3639,-71.088132,EAT,2022-07-20 07:43:50,2022-07-20 07:44:36,0,0.23641333638769704
1.4006779238019582e+19,42.362666,-71.08399399999999,42.361889,-71.090546,EAT,2022-07-20 07:46:00,2022-07-20 07:49:06,3,0.16061060554988602
1.8019225936239389e+19,42.363058,-71.092456,42.361889,-71.090546,EAT,2022-07-20 08:00:06,2022-07-20 08:01:16,1,0.06076904518169
9.417719504984349e+18,42.364909999999995,-71.08259,42.362934,-71.082109,EAT,2022-07-20 08:01:58,2022-07-20 08:02:35,0,0.032735893627582
9.370841841810872e+17,42.362844,-71.087726,42.366372,-71.093115,EAT,2022-07-20 08:02:08,2022-07-20 08:03:30,1,0.0709456491947
1.1658566982641933e+18,42.364909999999995,-71.08259,42.36961182192845,-71.08408085157683,EAT,2022-07-20 08:02:11,2022-07-20 08:02:50,0,0.281167285667044
7.191398603951153e+18,42.363468,-71.088546,42.35731286087468,-71.09384525746042,EAT,2022-07-20 08:11:09,2022-07-20 08:17:47,6,0.9744680346827832
3.2663553540152566e+18,42.366056,-71.092182,42.366056,-71.092182,EAT,2022-07-20 08:11:22,2022-07-20 08:12:02,0,0.035117037592601
1.5210136138400854e+19,42.364909999999995,-71.08259,42.3662424124032,-71.07850063191331,EAT,2022-07-20 08:13:00,2022-07-20 08:13:50,0,0.043385850670379006
2.1164279781872346e+17,42.367616999999996,-71.081342,42.369351,-71.0804564,EAT,2022-07-20 08:14:09,2022-07-20 08:15:04,0,0.047616778932364
1.755837541641932e+19,42.364909999999995,-71.08259,42.364793,-71.08313100000001,EAT,2022-07-20 08:14:52,2022-07-20 08:15:38,0,0.040069200723944
1.4766095453000118e+19,42.364909999999995,-71.08259,42.365952,-71.082562,EAT,2022-07-20 08:15:30,2022-07-20 08:18:03,2,0.132803691989739
1.006451691010512e+19,42.363164000000005,-71.088442,42.361889,-71.090546,EAT,2022-07-20 08:15:30,2022-07-20 08:19:57,4,0.23109878524902705
9.608726624512152e+18,42.359176,-71.088217,42.35731286087468,-71.09384525746042,EAT,2022-07-20 08:18:54,2022-07-20 08:24:27,5,0.286183208036603
1.008920866363119e+19,42.362207,-71.087304,42.366022824085505,-71.08192419192879,EAT,2022-07-20 08:20:41,2022-07-20 08:29:26,8,0.453784745366372
1.647086286287797e+18,42.365551,-71.09015699999999,42.367304,-71.090128,EAT,2022-07-20 08:23:14,2022-07-20 08:28:54,5,0.29396087220303496
3.4168615482880353e+18,42.366428000000006,-71.094095,42.364305,-71.08403299999999,EAT,2022-07-20 08:26:02,2022-07-20 08:27:14,1,0.432337688570365
7.794217561213283e+18,42.359176,-71.088217,42.358764,-71.09635899999999,EAT,2022-07-20 08:28:56,2022-07-20 08:33:55,4,0.25328104282020003
7.294669805802077e+18,42.364909999999995,-71.08259,42.365003,-71.087029,EAT,2022-07-20 08:30:46,2022-07-20 08:32:44,1,0.5574291368335741
8.863476048001787e+18,42.366084,-71.090843,42.368193,-71.07773,EAT,2022-07-20 08:30:48,2022-07-20 08:32:55,2,1.008327750706754
9.816752893822271e+18,42.362207,-71.087304,42.361889,-71.090546,EAT,2022-07-20 08:32:26,2022-07-20 08:36:03,3,0.172325555944348
1.912796837523488e+18,42.366428000000006,-71.094095,42.363479999999996,-71.086999,EAT,2022-07-20 08:35:12,2022-07-20 08:40:29,5,0.273957387090754
4.957667208926959e+18,42.362844,-71.087726,42.363053,-71.086022,EAT,2022-07-20 08:39:03,2022-07-20 08:39:52,0,0.042956247184422994
1.9616202261670948e+18,42.363058,-71.092456,42.363462,-71.08755,EAT,2022-07-20 08:41:11,2022-07-20 08:42:26,1,0.06538814063090499
9.171835322501026e+18,42.366428000000006,-71.094095,42.36630987613094,-71.09385221003511,EAT,2022-07-20 08:47:04,2022-07-20 08:47:47,0,0.037776799826192
1.5453627378001076e+19,42.360684,-71.086093,42.360623,-71.08743,EAT,2022-07-20 08:51:00,2022-07-20 08:51:04,0,0.0034727088170070004
1.9084774242946775e+18,42.363027,-71.091578,42.362891999999995,-71.088942,EAT,2022-07-20 08:53:47,2022-07-20 08:54:39,0,0.319302499623335
1.5053478028886063e+19,42.364909999999995,-71.08259,42.365952,-71.082562,EAT,2022-07-20 08:55:56,2022-07-20 08:59:06,3,0.16400560289163202
9.70612955269032e+18,42.359113,-71.092946,42.358503000000006,-71.087787,EAT,2022-07-20 08:57:10,2022-07-20 08:58:08,0,0.5124464601538811
1.7279313183064115e+19,42.363468,-71.088546,42.362934,-71.082109,EAT,2022-07-20 09:00:03,2022-07-20 09:01:40,1,0.47938726896691597
8.64389381491404e+18,42.363147999999995,-71.093133,42.363218852024886,-71.0876848536742,EAT,2022-07-20 09:00:03,2022-07-20 09:00:03,0,0.0
4.956783155822324e+18,42.361649,-71.09047,42.362077,-71.08483299999999,EAT,2022-07-20 09:03:24,2022-07-20 09:07:52,4,0.231583376024065
4.697418267534105e+17,42.360684,-71.086093,42.360623,-71.08743,EAT,2022-07-20 09:06:27,2022-07-20 09:08:51,2,0.119202468211714
1.8179590691563264e+19,42.363147999999995,-71.093133,42.363462,-71.08755,EAT,2022-07-20 09:08:12,2022-07-20 09:11:37,3,0.17716143996470604
1.5823606581064965e+18,42.360213,-71.085994,42.360623,-71.08743,EAT,2022-07-20 09:08:54,2022-07-20 09:10:08,1,0.34154329940995604
4.023170565116776e+18,42.361649,-71.09047,42.36467240318265,-71.08384421052558,EAT,2022-07-20 09:20:33,2022-07-20 09:30:24,9,0.5107277966588091
6.06020222668577e+18,42.360684,-71.086093,42.360623,-71.08743,EAT,2022-07-20 09:21:00,2022-07-20 09:22:15,1,0.4148173720176321
1.3717421376233773e+19,42.363039,-71.088413,42.362787,-71.083525,EAT,2022-07-20 09:23:01,2022-07-20 09:23:34,0,0.029210663380766007
1.305192089440808e+19,42.36853,-71.079323,42.3662424124032,-71.07850063191331,EAT,2022-07-20 09:25:40,2022-07-20 09:26:27,0,0.34499157167847905
6.639271282216088e+18,42.365551,-71.09015699999999,42.363053,-71.086022,EAT,2022-07-20 09:32:38,2022-07-20 09:44:51,12,0.6331716420046201
2.7555522002880983e+18,42.368071,-71.093378,42.363053,-71.086022,EAT,2022-07-20 09:32:38,2022-07-20 09:35:25,2,0.9886852635402432
4.123039961681428e+18,42.365244,-71.08233299999999,42.364159,-71.078781,EAT,2022-07-20 09:37:24,2022-07-20 09:41:30,4,0.21268307902938105
1.8064330308747678e+19,42.365879,-71.082512,42.362077,-71.08483299999999,EAT,2022-07-20 09:40:25,2022-07-20 09:44:34,4,1.894127521427809
1.1242188095615506e+19,42.365031,-71.092656,42.363218852024886,-71.0876848536742,EAT,2022-07-20 09:42:02,2022-07-20 09:42:02,0,0.0
8.971627161131933e+18,42.362666,-71.08399399999999,42.363218852024886,-71.0876848536742,EAT,2022-07-20 09:42:02,2022-07-20 09:47:03,5,0.259860001521916
7.577217997414978e+18,42.363027,-71.091578,42.363218852024886,-71.0876848536742,EAT,2022-07-20 09:42:02,2022-07-20 09:42:02,0,0.0
2.0445349392472689e+18,42.363039,-71.088413,42.36467240318265,-71.08384421052558,EAT,2022-07-20 09:42:02,2022-07-20 09:43:20,1,0.40681101885649606
1.493329194512581e+19,42.363027,-71.091578,42.362934,-71.082109,EAT,2022-07-20 09:42:02,2022-07-20 09:43:41,1,0.5416389851230731
5.277487940949708e+18,42.363147999999995,-71.093133,42.363479999999996,-71.086999,EAT,2022-07-20 09:42:23,2022-07-20 09:43:37,1,0.06439066347691699
1.4412059064325155e+19,42.36853,-71.079323,42.36467240318265,-71.08384421052558,EAT,2022-07-20 09:42:38,2022-07-20 09:43:05,0,0.16694816591983302
